formulation,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,heuristics_effort,detect_symmetry,instance_id,N_g,k_identical,seed,config_label,solver,error
three_bin,24,24,2304,4656.0,1728,0.044122874999999784,0.06147912499999997,1566894.6874795065,1662,1.4173217499999997,1568668.7519051456,1568646.1853465633,1.4385802327505747e-05,1,5280,True,Optimal,0.11309362945392465,on,0.05,True,Ng24_k16_T24_s42,24,16,42,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04224783299999979,0.068767083,1584503.9628517933,2028,0.8284996250000001,1585721.6681228394,1585721.6681228394,0.0,1,3681,True,Optimal,0.07679186679006851,on,0.05,True,Ng24_k24_T24_s44,24,24,44,default,highs,
three_bin,24,24,2304,4656.0,1728,0.036166582999999974,0.06911220799999995,1571021.96538283,2209,0.42483416699999976,1572063.0507078627,1572063.0507078627,0.0,1,2866,True,Optimal,0.06622414568957202,on,0.05,True,Ng24_k24_T24_s46,24,24,46,default,highs,
three_bin,24,24,2304,4656.0,1728,0.05239366700000003,0.047246208000000234,1511100.0862922105,1380,2.1232179170000003,1557127.0463995948,1556784.8929108754,0.0002197338293689658,1,5255,True,Optimal,2.9558898365941473,on,0.05,True,Ng24_k8_T24_s45,24,8,45,default,highs,
three_bin,24,24,2304,4656.0,1728,0.0556978749999999,0.05501937500000009,1491588.297489627,1392,2.215340916,1532564.4652401812,1532305.731314201,0.000168824171412414,1,3995,True,Optimal,2.6736994547327204,on,0.05,True,Ng24_k8_T24_s46,24,8,46,default,highs,
three_bin,24,24,2304,,1728,0.04078995899999993,0.22347924999999996,1498798.3162025854,2910,0.022151582999999975,,1e+20,0.0,0,0,False,infeasible,0.0,on,0.05,True,Ng24_k4_T24_s44,24,4,44,default,scip,
three_bin,24,24,2304,,1728,0.03880041699999992,0.196414417,1539074.788262908,2512,0.39317,1632924.8603214948,1632919.8665957658,3.05815725014894e-06,1,2727,False,gaplimit,5.747360110624391,on,0.05,True,Ng24_k1_T24_s43,24,1,43,default,scip,
three_bin,24,24,2304,,1728,0.04104337499999999,0.17621054200000003,1524687.848635329,2334,0.645036458,1618211.733196714,1618211.733196714,0.0,1,3307,True,optimal,5.77945905611698,on,0.05,True,Ng24_k4_T24_s43,24,4,43,default,scip,
three_bin,24,24,2304,,1728,0.05073954199999997,0.202668833,1501901.0739572942,2661,0.6648735829999999,1506513.713514626,1506513.713514626,0.0,1,3934,True,optimal,0.3061797258101772,on,0.05,True,Ng24_k1_T24_s44,24,1,44,default,scip,
three_bin,24,24,2304,,1728,0.04079595899999999,0.25962958399999997,1480267.6121949626,3100,0.680197541,1503283.4032190484,1503283.4032190484,0.0,1,4169,True,optimal,1.5310347320273132,on,0.05,True,Ng24_k1_T24_s45,24,1,45,default,scip,
three_bin,24,24,2304,,1728,0.03264695799999995,0.23062095800000004,1478481.1471630542,3224,0.7935596669999999,1506090.631870959,1506072.367088784,1.212742665896036e-05,1,3964,False,gaplimit,1.8331887951262626,on,0.05,True,Ng24_k4_T24_s45,24,4,45,default,scip,
three_bin,24,24,2304,,1728,0.055490791999999955,0.20162208299999995,1452874.8256296827,2563,0.951700292,1455588.4144317957,1455588.4144317957,0.0,1,4263,True,optimal,0.1864255565109209,on,0.05,True,Ng24_k1_T24_s46,24,1,46,default,scip,
three_bin,24,24,2304,,1728,0.03680741700000001,0.19205470800000002,1450093.9609122393,2420,0.9161945829999999,1453988.7404921541,1453988.7404921541,0.0,1,4356,True,optimal,0.26786862039911996,on,0.05,True,Ng24_k4_T24_s46,24,4,46,default,scip,
three_bin,24,24,2304,,1728,0.05131675000000002,0.222039125,1488326.00971553,2849,1.286743459,1524881.4516096616,1524767.399829547,7.479946129973573e-05,1,4807,False,gaplimit,2.3972645123031455,on,0.05,True,Ng24_k1_T24_s42,24,1,42,default,scip,
three_bin,24,24,2304,,1728,0.04161554199999995,0.18333737500000002,1527245.7810709886,2437,0.543601875,1567629.2369716712,1567629.2369716712,0.0,1,3160,True,optimal,2.5760846345718145,on,0.05,True,Ng24_k8_T24_s43,24,8,43,default,scip,
three_bin,24,24,2304,,1728,0.051612250000000026,0.23761066600000003,1492082.369163841,3495,1.4066697499999998,1541959.7421834173,1541806.649890214,9.929409320827862e-05,1,8402,False,gaplimit,3.234674139348792,on,0.05,True,Ng24_k4_T24_s42,24,4,42,default,scip,
three_bin,24,24,2304,,1728,0.03860412499999999,0.18662924999999997,1520571.2718911693,2704,0.7650660420000002,1570904.8749949099,1570904.8749949099,0.0,1,3669,True,optimal,3.204115278075237,on,0.05,True,Ng24_k8_T24_s44,24,8,44,default,scip,
three_bin,24,24,2304,,1728,0.039097958000000155,0.26212783399999995,1491588.297489626,3309,0.994175625,1532363.008300163,1532363.008300163,0.0,1,4601,True,optimal,2.6609041454066436,on,0.05,True,Ng24_k8_T24_s46,24,8,46,default,scip,
three_bin,24,24,2304,,1728,0.04014091600000014,0.19843433300000002,1566894.6874795042,3104,0.9479208749999999,1569135.8179976724,1568535.441435028,0.00038276251003610534,1,7332,False,gaplimit,0.1428257829859528,on,0.05,True,Ng24_k16_T24_s42,24,16,42,default,scip,
three_bin,24,24,2304,,1728,0.03611008300000007,0.21362433399999992,1583720.6578184762,3755,0.697945958,1617892.9786065526,1617650.1771893068,0.00015009513222916576,1,5422,False,gaplimit,2.112149644008473,on,0.05,True,Ng24_k16_T24_s44,24,16,44,default,scip,
three_bin,24,24,2304,,1728,0.04974749999999961,0.26539579099999977,1513155.3962850305,3799,0.855985,1573888.2157959198,1572346.19754522,0.0009807116607699277,1,7309,False,gaplimit,3.8587759220356372,on,0.05,True,Ng24_k16_T24_s43,24,16,43,default,scip,
three_bin,24,24,2304,,1728,0.049133208000000206,0.2787749580000001,1573575.458828139,4662,0.4879681250000001,1576341.8821159722,1576341.8821159722,0.0,1,4748,True,optimal,0.17549640209520329,on,0.05,True,Ng24_k24_T24_s42,24,24,42,default,scip,
three_bin,24,24,2304,,1728,0.056008459000000066,0.2561158750000001,1486273.8250964666,3541,1.9642516250000002,1546420.943805752,1546182.881372826,0.0001539678364015886,1,11435,False,gaplimit,3.889440255591926,on,0.05,True,Ng24_k8_T24_s42,24,8,42,default,scip,
three_bin,24,24,2304,,1728,0.05082016700000036,0.2038138749999998,1566179.2330810048,3613,0.9547768750000003,1567923.0205963368,1567376.8851518615,0.00034843913397537656,1,7967,False,gaplimit,0.11121639853650254,on,0.05,True,Ng24_k16_T24_s46,24,16,46,default,scip,
three_bin,24,24,2304,,1728,0.04676608399999971,0.23303345799999997,1513001.7014878462,3374,1.1317322500000002,1551958.4398999366,1551698.439899936,0.00016755833048155426,1,5405,False,gaplimit,2.510166342766376,on,0.05,True,Ng24_k16_T24_s45,24,16,45,default,scip,
three_bin,24,24,2304,,1728,0.059170874999999956,0.20626158299999986,1511100.0862922086,3031,1.903749666,1557162.822661158,1556848.9571735775,0.00020160304320737435,1,6815,False,gaplimit,2.9581194528025696,on,0.05,True,Ng24_k8_T24_s45,24,8,45,default,scip,
three_bin,24,24,2304,,1728,0.059659165999999875,0.263713375,1569013.7682951551,4320,0.565064708,1570653.478366438,1570653.478366438,0.0,1,5788,True,optimal,0.10439667908088239,on,0.05,True,Ng24_k24_T24_s43,24,24,43,default,scip,
three_bin,24,24,2304,,1728,0.03681045799999971,0.2558582079999998,1566267.542786406,4445,0.48818474999999983,1567777.7521237915,1567517.7521237915,0.00016586734003345887,1,5619,False,gaplimit,0.09632802451366577,on,0.05,True,Ng24_k24_T24_s45,24,24,45,default,scip,
three_bin,24,24,2304,,1728,0.047390041999999966,0.21825583299999973,1571021.965382829,3869,0.43476154199999995,1572453.0507078627,1572063.0507078627,0.00024808165284744287,1,5845,False,gaplimit,0.09100973312935562,on,0.05,True,Ng24_k24_T24_s46,24,24,46,default,scip,
three_bin,24,24,2304,,1728,0.045185916000000326,0.2899173749999999,1584503.9628517907,4432,0.7047276669999998,1585721.668122839,1585721.668122839,0.0,1,6789,True,optimal,0.07679186679020067,on,0.05,True,Ng24_k24_T24_s44,24,24,44,default,scip,
